รหัสหลัก,รหัสขาย,ราคา,คำอธิบาย,รหัสรอง
A71,A71,65,พาสปอร์ตแอสการ์ด,
A90,A90,23,สติกเกอร์ Huamo,
A170,A170,65,ถุงหูรูด,
A561,A561,95,กระจกฐานไม้ พร้อมปากกา ลบได้,
A589,"A589ชีส, A589เลมอน, A589ส้ม",49,เทียนหอมรูปผลไม้,"A589ชีส, A589เลมอน, A589ส้ม"
A621,A621,135,เก๊ะสองชั้นในตำนาน,
A622,A622,5,สร้อยคอ,
A640,"A640ชมพู, A640ขาว",39,ชั้นวางสองชั้น,"A640ชมพู, A640ขาว"
A645,A645,65,โน้ตปกใส,
A678,A678,19,คอนโดปากกา,
A688,A688,115,ชั้นวางพับได้ สองชิ้น,
A694,"A694ฟ้า, A694ชมพู",75,เสื้อบาติก,"A694ฟ้า, A694ชมพู"
A704,A704,95,ผ้าเช็ดผม,
A705,A705,145,โต๊ะนรก วางจอคอม,
A708,A708,29,กระปุกใส่ของ,
A727,A727,125,แก้วใส,
A736,A736,145,กระเป๋าไอแพดสนุปปี้ (736),
A738,A738,100,น้อนหมีกระเป๋า,
A739,A739,165,ที่ใส่เครื่องสำอางรูปรถโรงเรียน,
A740,A740,45,ถังขยะ,
A742,A742,145,ชุดนอนวัว,
A743,A743,49,ไฟพระจันทร์,
A744,"A744กรม, A744ขาว",115,กระเป๋าไอแพดสนุปปี้ (744),"A744กรม, A744ขาว"
A750,A750,39,กล่องใส่ของ 10 ลิตร,
A755,A755,85,เสื้อยืด Bright Idea,
A759,A759,65,แผ่นแขวนของติดผนัง,
A775,A775,120,ไฟนีออนรูปหัวใจ,
A777,A777,145,โคมไฟกระดาษมูจิ,
A787,"A787เขียว, A787ชมพู, A787เหลือง",90,หมวกแก๊ป,"A787เขียว, A787ชมพู, A787เหลือง"
A796,A796,100,ที่ใส่โทรศัพท์กันน้ำ ติดผนัง,
A800,"A800หมี, A800ต่าย",65,กระเป๋าดินสอ,"A800หมี, A800ต่าย"
A803,A803,35,ที่จัดระเบียบสายไฟ,
A805,"A805ดำ, A805ฟ้า, A805ชมพู, A805เหลือง",45,สติกเกอร์ยกกล่อง,"A805ดำ, A805ฟ้า, A805ชมพู, A805เหลือง"
A806,"A806ขาว, A806ดำ",165,กระเป๋าไอแพดสนุปปี้ (806),"A806ขาว, A806ดำ"
A808,"A808แดง, A808ชมพู",39,เทียนสตรอเบอร์รี,"A808แดง, A808ชมพู"
A813,A813,45,เซ็ตเทปลายสัตว์,
A815,"A815บิสกิต, A815ชอค",55,โน้ตรูปขนม กลิ่นขนม,"A815บิสกิต, A815ชอค"
A816,A816,65,ไฟรูปเทียน,
A818,A818,85,เสื้อยืดปักตัวอักษร,
A819,A819,60,กล่องหมี ใส่เครื่องสำอาง หรือทิ้งขยะ,
A820,A820,50,เก๊ะสามช่อง,
A821,A821,13,สติกเกอร์หมีเค้ก,
A823,A823,165,ชั้นวางไม้ ใหญ่มวก,
A824,"A824ฟ้า, A824ครีม, A824ชมพู, A824ม่วง",65,กล่องใส่หนังสือ,"A824ฟ้า, A824ครีม, A824ชมพู, A824ม่วง"
A826,A826,42,สมุดจด,
A827,A827,90,ผ้าห่มลายวัว,
A829,A829เหลือง,65,กางเกงขาสั้น,A829เหลือง
A831,A831,145,ชั้นวางหนังสือ 4 ช่อง,
A832,"A832cow, A832แดง, A832ขาว",60,อ้ลบั้มภาพ,"A832cow, A832แดง, A832ขาว"
A833,"A833ฟ้า, A833ดำ, A833ชมพู",65,กล่องเหล็ก 3 ชั้น,"A833ฟ้า, A833ดำ, A833ชมพู"
A834,"A834ฟ้า, A834ชมพู, A834ขาว, A834เหลือง",120,ไฟสีพาสเทล,"A834ฟ้า, A834ชมพู, A834ขาว, A834เหลือง"
A835,"A835ฟ้า, A835เหลือง",60,ไฟรูปหอย,"A835ฟ้า, A835เหลือง"
A836,A836,90,กระจกหัวใจ,
A837,A837,35,ที่วางโทรศัพท์,
A838,A838,19,ที่วางโทรศัพท์,
A840,"A840ชมพู, A840เหลือง, A840ฟ้า, A840เขียว",35,ตะกร้าเก็บของ วางซ้อนกันได้,"A840ชมพู, A840เหลือง, A840ฟ้า, A840เขียว"
A841,"A841ชมพู, A841เขียว",65,ที่เสียบมือถือ มีรูชาร์จ,"A841ชมพู, A841เขียว"
A842,A842,35,ที่วางโทรศัพท์ใส,
A843,A843,85,ชั้นวางจัดระเบียบโต๊ะ ,
A844,"A844ฟ้า, A844สายรุ้ง, A844เชอร์รี่",19,โน้ต 90s,"A844ฟ้า, A844สายรุ้ง, A844เชอร์รี่"