รหัสหลัก,รหัสขาย,รหัสรอง,ราคา
,,,
คด,คด,,19
อพ,อพกรม อพขาว,อพกรม อพขาว,115
อทคจ,อทคจ,,125
อทคน,อทคน,,135
กข,กข,,39
สตก,สตก,,13
สม,สม,,42
คฟพจ,คฟพจ,,49
อพน,อพนขาว อพนดำ,อพนขาว อพนดำ,165
นบ,นบ,,165
กจม,กจม,,95
ฟท,ฟท,,65
กล,กล,,29
คฟข,คฟข,,145
ทว1,ทว1,,19
ชวย,ชวย ชวย,ชวย ชวย,165
ทก,ทก,,50
ตนร,ตนร,,145
ตผ,ตผ,,65
ทว,ทว,,35
กก,กกม่วง กกฟ้า กกชมพู กกเนื้อ,กกม่วง กกฟ้า กกชมพู กกเนื้อ,65
กท,กท,,65
บ,บชมพุ บเหลือง บฟ้า บเขียว,บชมพุ บเหลือง บฟ้า บเขียว,35
ผว,ผว,,90
ฟต,ฟตแดง ฟตขาว ฟตวัว,ฟตแดง ฟตขาว ฟตวัว,60
ม,ม,,35
ส,ส,,23
ฟป,ฟป,,145
มอ,มอ,,60
สค,สค สค,สค สค,165
ทส,ทสแดง ทสชมพู,ทสแดง ทสชมพู,39
ก5,ก5ชมพู ก5ฟ้า ก5ดำ,ก5ชมพู ก5ฟ้า ก5ดำ,65
ถข,ถข,,45
ชว,ชว,,85
สตก1,สตก1ชมพู สตก1ฟ้า สตก1ดำ สตก1เหลือง,สตก1ชมพู สตก1ฟ้า สตก1ดำ สตก1เหลือง,45
บต,บตชมพู บตฟ้า,บตชมพู บตฟ้า,75
อพส,อพส,,145
ถส,ถส,,65
สช,สช สช,สช สช,35
วม,วมน้ำตาล วมเขียว,วมน้ำตาล วมเขียว,65
น,นคุ้กกี้ นช็อก,นคุ้กกี้ นช็อก,55
กส,กสเหลือง กสครีม,กสเหลือง กสครีม,65
กห,กห,,90
ส5,ส5,,10
ผม,ผม,,95
สอ,สอ,,85
ฝ,ฝสายรุ้ง ฝเชอรี่ ฝฟ้า,ฝสายรุ้ง ฝเชอรี่ ฝฟ้า,19
กถ,กถ,,65
กน,กน,,100
สมม,สมม,,65
กอ,กอ,,125
ชนว,ชนว,,145
ท,ทเลม่อน ทชีส ทส้ม,ทเลม่อน ทชีส ทส้ม,49
กค,กค,,9
พพ,พพ,,135
มก,มก,,100
พบ,พบหมี พบกระต่าง,พบหมี พบกระต่าง,65
สก,สก,,135
ดน,ดนขาว ดนชมพู,ดนขาว ดนชมพู,39
พป,พป,,65
หฟ,หฟ,,45
สกท1,สกท1,,45
วน,วน,,45
กป,กป,,90
ฟนอ,ฟนอ,,120
ฟพท,ฟพทชมพู ฟพทเหลือง ฟพทขาว,ฟพทชมพู ฟพทเหลือง ฟพทขาว,135
ฟน,ฟพทฟ้า,ฟพทฟ้า,120
หม,หมชมพู หมเขียว หมเหลือง,หมชมพู หมเขียว หมเหลือง,90
ฟห,ฟหฟ้า ฟหเหลือง ฟหขาว,ฟหฟ้า ฟหเหลือง ฟหขาว,60
สกท2,สกท2,,60
มจ,มจ,,45
ปม,ปม,,45
สกท9,สกท9,,45
ขม,ขม,,35