รหัสสินค้า,รหัสขาย,รายละเอียด,หน่วย,จำนวน,ราคา,ต้นทุน,ค่าส่งเพิ่ม,หมายเหตุ
678_pencilrack_slim,คด,,,,19,,,
744_ipadbag_snoopy_vertical_navy,อพกรม,,,,115,,,
744_ipadbag_snoopy_vertical_white,อพขาว,,,,115,,,
ANTIGENTESTKITx10,อทคจ,,,,125,,,
ANTIGENTESTKITx5,อทคน,,,,135,,,
750_plastic_box_white,กข,,,,39,,,
821_sticker_bear_cake_glitter,สตก,,,,13,,,
826_notebook_composition,สม,,,,42,,,
743_light_moon,คฟพจ,,,,49,,,
806_ipadbag_snoopy_framouswritor_white,อพนขาว,,,,165,,,
806_ipadbag_snoopy_framouswritor_black,อพนดำ,,,,165,,,
807_notebookbag_snoopy_framouswritor_black,นบ,,,,165,,,
561_mirror_wood_drawable,กจม,,,,95,,,
816_light_candle_like,ฟท,,,,65,,,
708_box_little_lid,กล,,,,29,,,
777_light_wood_paper,คฟข,,,,145,,,
838_mobilestand_checklist,ทว1,,,,19,,,
823_wood_shelf_white,ชวย,,,,165,,,
820_geh_triple,กส,,,,50,,,
705_table_whitewod,ตนร,,,,145,,,
759_wall_white_holder,ตผ,,,,65,,,
837_mobilestand_space_trip_A,ทว,,,,35,,,
824_bookbox_bear_purple,กกม่วง,,,,65,,,
824_bookbox_bear_blue,กกฟ้า,,,,65,,,
824_bookbox_bear_pink,กกชมพู,,,,65,,,
824_bookbox_bear_cream,กกเนื้อ,,,,65,,,
643_geh_tape,กท,,,,65,,,
840_basket_ministack_pink,บชมพุ,,,,35,,,
840_basket_ministack_yelllow,บเหลือง,,,,35,,,
840_basket_ministack_blue,บฟ้า,,,,35,,,
840_basket_ministack_green,บเขียว,,,,45,,,
827_blanket_cow,ผว,,,,90,,,
832_photoalbum_red,ฟตแดง,,,,60,,,
832_photoalbum_white,ฟตขาว,,,,60,,,
832_photoalbum_cow,ฟตวัว,,,,60,,,
842_mobilestand_pastel_heart_bear,ม,,,,35,,,
90_sticker_huamo,ส,,,,23,,,
831_bookshelf_4,ฟป,,,,145,,,
819_cosmetic_bearbox,มอ,,,,60,,,
739_bag_school_bus,สค,,,,165,,,
808_candle_strawberry_red,ทสแดง,,,,39,,,
808_candle_strawberry_pink,ทสชมพู,,,,39,,,
833_metalbox_multi_pink,กชมพู,,,,65,,,
833_metalbox_multi_blue,กฟ้า,,,,65,,,
833_metalbox_multi_black,กดำ,,,,65,,,
740_bin_little_trash,ถข,,,,45,,,
843_table_organizer,ชว,,,,85,,,
805_stickerbox_pink,สตกชมพู,,,,45,,,
805_stickerbox_blue,สตกฟ้า,,,,45,,,
805_stickerbox_black,สตกดำ,,,,45,,,
805_stickerbox_yellow,สตกเหลือง,,,,45,,,
694_tshirt_batic_pink,บตชมพู,,,,75,,,
694_tshirt_batic_blue,บตฟ้า,,,,75,,,
736_ipadbag_snoopy_border_snoopy,อพส,,,,145,,,
170_bag_snoopy_pig_nose_black,ถส,,,,65,,,
688_shelf_foldable_set2_long,ชวย,,,,115,,,
803_cable_organizer,สช,,,,35,,,
622_nacklace_gold_plus_red,สค,,,,5,,,
841_wallholder_silicone_brown,วมน้ำตาล,,,,65,,,
841_wallholder_silicone_green,วมเขียว,,,,65,,,